RowNumber,CustomerId,CreditScore,GeographyID,GenderID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Bank DOJ
42,15738148.0,465,1,2,51,6,122522.32,1,0,0,181297.65,1,2016-11-09 00:00:00
43,15687946.0,556,1,2,61,5,117419.35,1,1,1,94153.83,0,2018-03-08 00:00:00
44,15755196.0,834,1,2,49,6,131394.56,1,0,0,194365.76,1,2017-05-01 00:00:00
45,15684171.0,660,2,2,61,7,155931.11,1,1,1,158338.39,0,2016-09-17 00:00:00
46,15754849.0,776,3,2,32,6,109421.13,2,1,1,126517.46,0,2016-12-14 00:00:00
47,15602280.0,829,3,2,27,5,112045.67,1,1,1,119708.21,1,2018-05-29 00:00:00
48,15771573.0,637,3,2,39,7,137843.8,1,1,1,117622.8,1,2016-03-25 00:00:00
49,15766205.0,550,3,1,38,4,103391.38,1,0,1,90878.13,0,2018-11-30 00:00:00
50,15771873.0,776,3,2,37,4,103769.22,2,1,0,194099.12,0,2019-06-21 00:00:00
51,15616550.0,698,3,1,44,6,116363.37,2,1,0,198059.16,0,2017-03-30 00:00:00
52,15768193.0,585,3,1,36,4,146050.97,2,0,0,86424.57,0,2019-05-12 00:00:00
53,15683553.0,788,1,2,33,5,0.0,2,0,0,116978.19,0,2018-03-13 00:00:00
54,15702298.0,655,3,1,41,5,125561.97,1,0,0,164040.94,1,2018-09-17 00:00:00
55,15569590.0,601,3,1,42,7,98495.72,1,1,0,40014.76,1,2016-06-21 00:00:00
56,15760861.0,619,1,1,43,6,125211.92,1,1,1,113410.49,0,2017-03-20 00:00:00
57,15630053.0,656,1,1,45,6,127864.4,1,1,0,87107.57,0,2017-09-21 00:00:00
58,15647091.0,725,3,1,19,6,75888.2,1,0,0,45613.75,0,2017-08-28 00:00:00
59,15623944.0,511,2,2,66,7,0.0,1,1,0,1643.11,1,2016-09-21 00:00:00
60,15804771.0,614,1,1,51,4,40685.92,1,1,1,46775.28,0,2019-01-10 00:00:00
61,15651280.0,742,3,1,35,6,136857.0,1,0,0,84509.57,0,2017-06-19 00:00:00
62,15773469.0,687,3,2,27,4,152328.88,2,0,0,126494.82,0,2018-11-29 00:00:00
63,15702014.0,555,2,1,33,5,56084.69,2,0,0,178798.13,0,2018-06-11 00:00:00
64,15751208.0,684,2,1,56,4,78707.16,1,1,1,99398.36,0,2019-01-27 00:00:00
65,15592461.0,603,3,1,26,4,109166.37,1,1,1,92840.67,0,2019-04-02 00:00:00
66,15789484.0,751,3,2,36,6,169831.46,2,1,1,27758.36,0,2017-05-26 00:00:00
67,15696061.0,581,3,2,34,4,101633.04,1,1,0,110431.51,0,2019-01-31 00:00:00
68,15641582.0,735,3,1,43,6,123180.01,2,1,1,196673.28,0,2016-11-22 00:00:00
69,15638424.0,661,3,2,35,3,150725.53,2,0,1,113656.85,0,2019-09-26 00:00:00
70,15755648.0,675,1,2,21,5,98373.26,1,1,0,18203.0,0,2018-08-28 00:00:00
71,15703793.0,738,3,1,58,3,133745.44,4,1,0,28373.86,1,2019-12-25 00:00:00
72,15620344.0,813,1,1,29,6,0.0,1,1,0,33953.87,0,2016-12-03 00:00:00
73,15812518.0,657,2,2,37,6,163607.18,1,0,1,44203.55,0,2017-01-29 00:00:00
74,15779052.0,604,3,2,25,4,157780.84,2,1,1,58426.81,0,2019-05-06 00:00:00
75,15770811.0,519,1,1,36,6,0.0,2,0,1,145562.4,0,2017-09-01 00:00:00
76,15780961.0,735,1,2,21,5,178718.19,2,1,0,22388.0,0,2018-07-09 00:00:00
77,15614049.0,664,1,1,55,5,0.0,2,1,1,139161.64,0,2018-09-04 00:00:00
78,15662085.0,678,1,2,32,7,0.0,1,1,1,148210.64,0,2016-09-14 00:00:00
79,15575185.0,757,2,1,33,6,77253.22,1,0,1,194239.63,0,2017-05-15 00:00:00
80,15803136.0,416,3,2,41,4,122189.66,2,1,0,98301.61,0,2019-08-25 00:00:00
81,15706021.0,665,1,2,34,6,96645.54,2,0,0,171413.66,0,2016-10-31 00:00:00
82,15663706.0,777,1,2,32,7,0.0,1,1,0,136458.19,1,2016-05-25 00:00:00
83,15641732.0,543,1,2,36,4,0.0,2,0,0,26019.59,0,2019-04-15 00:00:00
84,15701164.0,506,1,2,34,4,90307.62,1,1,1,159235.29,0,2018-11-17 00:00:00
85,15738751.0,493,1,2,46,5,0.0,2,1,0,1907.66,0,2017-12-06 00:00:00
86,15805254.0,652,2,2,75,3,0.0,2,1,1,114675.75,0,2019-11-03 00:00:00
87,15762418.0,750,2,1,22,5,121681.82,1,1,0,128643.35,1,2017-11-27 00:00:00
88,15625759.0,729,1,1,30,6,0.0,2,1,0,151869.35,0,2016-09-24 00:00:00
89,15622897.0,646,1,2,46,5,0.0,3,1,0,93251.42,1,2017-11-04 00:00:00
90,15767954.0,635,3,2,28,4,81623.67,2,1,1,156791.36,0,2019-04-14 00:00:00
91,15757535.0,647,2,2,44,4,0.0,3,1,1,174205.22,1,2018-12-28 00:00:00
92,15731511.0,808,1,1,45,7,118626.55,2,1,0,147132.46,0,2016-01-10 00:00:00
93,15809248.0,524,1,2,36,6,0.0,2,1,0,109614.57,0,2017-06-04 00:00:00
94,15640635.0,769,1,1,29,4,0.0,2,1,1,172290.61,0,2018-12-31 00:00:00
95,15676966.0,730,2,1,42,4,0.0,2,0,1,85982.47,0,2019-04-23 00:00:00
96,15699461.0,515,2,1,35,5,176273.95,1,0,1,121277.78,0,2018-01-03 00:00:00
97,15738721.0,773,2,1,41,6,102827.44,1,0,1,64595.25,0,2017-02-27 00:00:00
98,15693683.0,814,3,1,29,7,97086.4,2,1,1,197276.13,0,2016-09-21 00:00:00
99,15604348.0,710,2,1,22,4,0.0,2,0,0,99645.04,0,2019-08-24 00:00:00
100,15633059.0,413,1,1,34,3,0.0,2,0,0,6534.18,0,2019-11-23 00:00:00
101,15808582.0,665,1,2,40,3,0.0,1,1,1,161848.03,0,2019-12-06 00:00:00
102,15743192.0,623,1,2,44,5,0.0,2,0,0,167162.43,0,2017-10-15 00:00:00
103,15580146.0,738,1,1,31,5,82674.15,1,1,0,41970.72,0,2018-07-29 00:00:00
104,15776605.0,528,2,1,36,4,0.0,2,1,0,60536.56,0,2019-06-03 00:00:00
105,15804919.0,670,2,2,65,3,0.0,1,1,1,177655.68,1,2019-11-18 00:00:00
106,15613854.0,622,2,2,46,4,107073.27,2,1,1,30984.59,1,2019-03-30 00:00:00
107,15599195.0,582,3,1,32,4,88938.62,1,1,1,10054.53,0,2019-07-24 00:00:00
108,15812878.0,785,3,2,36,3,99806.85,1,0,1,36976.52,0,2019-10-24 00:00:00
109,15602312.0,605,2,1,33,5,150092.8,1,0,0,71862.79,0,2018-05-28 00:00:00
110,15744689.0,479,3,1,35,5,92833.89,1,1,0,99449.86,1,2018-09-10 00:00:00
111,15803526.0,685,3,1,30,4,90536.81,1,0,1,63082.88,0,2019-07-03 00:00:00
112,15665790.0,538,3,1,39,4,108055.1,2,1,0,27231.26,0,2019-09-21 00:00:00
113,15715951.0,562,1,1,42,6,100238.35,1,0,0,86797.41,0,2016-10-01 00:00:00
114,15591100.0,675,2,1,36,5,106190.55,1,0,1,22994.32,0,2017-11-14 00:00:00
115,15609618.0,721,3,1,28,3,154475.54,2,0,1,101300.94,1,2019-10-05 00:00:00
116,15675522.0,628,3,2,30,6,132351.29,2,1,1,74169.13,0,2017-07-31 00:00:00
117,15705512.0,668,3,2,37,4,167864.4,1,1,0,115638.29,0,2018-11-19 00:00:00
118,15698028.0,506,1,2,41,5,0.0,2,1,0,31766.3,0,2018-06-03 00:00:00
119,15661670.0,524,3,2,31,3,107818.63,1,1,0,199725.39,1,2019-09-26 00:00:00
120,15600781.0,699,3,1,34,5,185173.81,2,1,0,120834.48,0,2017-12-24 00:00:00
121,15682472.0,828,1,1,34,3,129433.34,2,0,0,38131.77,0,2019-11-05 00:00:00
122,15580203.0,674,2,1,39,6,120193.42,1,0,0,100130.95,0,2016-12-21 00:00:00
123,15690673.0,656,1,2,39,4,0.0,2,1,0,141069.88,0,2019-06-20 00:00:00
124,15760085.0,684,3,2,48,7,126384.42,1,1,1,198129.36,0,2016-07-30 00:00:00
125,15779659.0,625,1,2,28,3,0.0,1,0,0,183646.41,0,2019-10-16 00:00:00
126,15627360.0,432,1,1,42,6,152603.45,1,1,0,110265.24,1,2016-11-22 00:00:00
127,15671137.0,549,1,2,52,4,0.0,1,0,1,8636.05,1,2018-12-03 00:00:00
128,15782688.0,625,3,1,56,4,148507.24,1,1,0,46824.08,1,2018-12-08 00:00:00
129,15575492.0,828,1,2,41,3,0.0,2,1,0,171378.77,0,2019-12-02 00:00:00
130,15591607.0,770,1,1,24,7,101827.07,1,1,0,167256.35,0,2016-08-13 00:00:00
131,15740404.0,758,1,2,34,4,0.0,2,1,1,124226.16,0,2019-09-12 00:00:00
132,15718369.0,795,3,2,33,3,130862.43,1,1,1,114935.21,0,2019-11-13 00:00:00
133,15677871.0,687,1,1,38,6,122570.87,1,1,1,35608.88,0,2016-11-13 00:00:00
134,15642004.0,686,1,1,25,5,0.0,2,0,1,16459.37,0,2017-12-18 00:00:00
135,15712543.0,789,3,1,39,4,124828.46,2,1,1,124411.08,0,2019-01-07 00:00:00
136,15584518.0,589,3,2,50,5,144895.05,2,1,1,34941.23,0,2017-09-23 00:00:00
137,15802381.0,461,3,2,34,5,63663.93,1,0,1,167784.28,0,2017-12-05 00:00:00
138,15610156.0,637,1,1,40,4,133463.1,1,0,1,93165.34,0,2018-12-21 00:00:00
139,15594408.0,584,2,2,48,4,213146.2,1,1,0,75161.25,1,2019-02-06 00:00:00
140,15640905.0,579,2,2,35,7,129490.36,2,0,1,8590.83,1,2016-06-06 00:00:00
141,15698932.0,756,3,1,44,6,137452.09,1,1,0,189543.9,0,2016-10-18 00:00:00
142,15724944.0,663,1,1,34,4,0.0,2,1,1,180427.24,0,2018-12-28 00:00:00
143,15628145.0,682,1,2,43,6,125851.93,1,1,1,193318.33,0,2016-11-07 00:00:00
144,15713483.0,793,2,1,52,5,0.0,1,1,0,159123.82,1,2018-05-28 00:00:00
145,15612350.0,691,1,2,31,3,40915.55,1,1,0,126213.84,1,2019-12-02 00:00:00
146,15800703.0,485,2,2,21,5,113157.22,1,1,1,54141.5,0,2018-06-03 00:00:00
147,15705707.0,635,2,2,29,4,138296.94,2,1,0,141075.51,0,2018-12-09 00:00:00
148,15754105.0,650,1,1,37,4,106967.18,1,0,0,24495.03,0,2019-09-13 00:00:00
149,15703264.0,735,1,1,44,6,120681.63,1,1,0,74836.34,0,2017-07-15 00:00:00
150,15794413.0,416,1,1,32,4,0.0,2,0,1,878.87,0,2019-09-07 00:00:00
151,15650237.0,754,2,2,32,4,0.0,2,1,0,89520.75,0,2018-10-21 00:00:00
152,15759618.0,535,1,2,48,4,0.0,1,1,0,149892.79,1,2019-06-03 00:00:00
153,15811589.0,716,2,1,42,4,0.0,2,1,0,180800.42,0,2019-01-18 00:00:00
154,15689044.0,539,1,1,37,6,127609.59,1,1,0,98646.22,0,2017-02-06 00:00:00
155,15709368.0,614,1,2,43,3,0.0,2,1,1,109041.53,0,2019-11-16 00:00:00
156,15679145.0,706,2,1,57,5,0.0,1,1,0,17941.16,1,2017-12-05 00:00:00
157,15655007.0,758,1,2,33,3,0.0,2,0,0,82996.47,0,2019-12-13 00:00:00
158,15623595.0,586,2,2,28,4,0.0,2,1,1,92067.35,0,2019-07-18 00:00:00
159,15589975.0,646,1,2,73,6,97259.25,1,0,1,104719.66,0,2017-08-22 00:00:00
160,15804017.0,631,3,2,33,3,123246.7,1,0,0,112687.57,0,2019-12-01 00:00:00
161,15692132.0,717,2,2,22,3,101060.25,1,0,1,84699.56,0,2019-10-21 00:00:00
162,15641122.0,684,1,1,30,5,0.0,2,1,0,83473.82,0,2017-10-02 00:00:00
163,15630910.0,800,1,2,49,7,108007.36,1,0,0,47125.11,0,2016-03-24 00:00:00
164,15680772.0,721,2,2,36,6,0.0,2,1,1,106977.8,0,2016-12-21 00:00:00
165,15658929.0,683,2,1,29,4,133702.89,1,1,0,55582.54,1,2019-03-27 00:00:00
166,15585388.0,660,3,1,31,6,125189.75,2,1,1,139874.43,0,2016-10-03 00:00:00
167,15724623.0,704,3,2,24,5,113034.22,1,1,0,162503.48,1,2017-10-15 00:00:00
168,15588537.0,615,2,2,41,4,109013.23,1,1,0,196499.96,0,2019-08-18 00:00:00
169,15574692.0,667,2,2,39,5,0.0,2,1,0,40721.24,1,2017-12-18 00:00:00
170,15611325.0,682,3,1,24,6,57929.81,2,0,0,53134.3,0,2016-09-23 00:00:00
171,15587562.0,484,1,2,29,7,130114.39,1,1,0,164017.89,0,2016-05-10 00:00:00
172,15613172.0,628,3,1,27,5,95826.49,2,1,0,155996.96,0,2017-12-09 00:00:00
173,15651022.0,480,3,1,44,7,129608.57,1,1,0,5472.7,1,2016-09-07 00:00:00
174,15586310.0,578,1,1,30,4,169462.09,1,1,0,112187.11,0,2018-12-24 00:00:00
175,15625524.0,512,1,1,40,3,0.0,2,1,1,146457.83,0,2019-10-06 00:00:00
176,15755209.0,484,2,2,35,3,133868.21,1,1,1,27286.1,0,2019-12-07 00:00:00
177,15645248.0,510,1,2,30,4,0.0,2,1,1,130553.47,0,2019-08-12 00:00:00
178,15790355.0,606,3,1,36,4,190479.48,2,0,0,179351.89,0,2018-12-30 00:00:00
179,15762615.0,597,2,2,40,7,101993.12,1,0,1,94774.12,0,2016-09-12 00:00:00
180,15625426.0,754,3,2,55,6,161608.81,1,1,0,8080.85,1,2017-01-01 00:00:00
181,15716334.0,850,2,2,45,5,122311.21,1,1,1,19482.5,0,2017-12-11 00:00:00
182,15789669.0,510,1,1,65,7,0.0,2,1,1,48071.61,0,2016-06-14 00:00:00
183,15621075.0,778,3,2,45,3,162150.42,2,1,0,174531.27,0,2019-10-03 00:00:00
184,15810845.0,636,1,1,42,3,0.0,2,1,1,55470.78,0,2019-12-24 00:00:00
185,15719377.0,804,1,2,50,3,0.0,1,1,1,8546.87,1,2019-11-05 00:00:00
186,15654506.0,514,1,1,32,5,0.0,2,1,0,95857.18,0,2017-09-26 00:00:00
187,15771977.0,730,1,2,39,6,99010.67,1,1,0,194945.8,0,2017-01-07 00:00:00
188,15708710.0,525,2,2,37,4,0.0,1,0,1,131521.72,0,2019-07-03 00:00:00
189,15726676.0,616,2,1,30,5,0.0,2,0,1,196108.51,0,2018-05-06 00:00:00
190,15587421.0,687,3,2,34,4,111388.18,2,1,0,148564.76,0,2018-11-30 00:00:00
191,15726931.0,715,1,2,41,7,56214.85,2,0,0,92982.61,1,2016-04-30 00:00:00
192,15771086.0,512,1,2,36,7,84327.77,2,1,0,17675.36,0,2016-06-13 00:00:00
193,15756850.0,479,1,1,40,3,0.0,2,0,0,114996.43,0,2019-11-05 00:00:00
194,15702741.0,601,1,1,32,3,93012.89,1,1,0,86957.42,0,2019-12-14 00:00:00
195,15679200.0,580,2,1,29,3,61710.44,2,1,0,128077.8,0,2019-12-21 00:00:00
196,15594815.0,807,1,1,35,5,174790.15,1,1,1,600.36,0,2018-09-10 00:00:00
197,15635905.0,616,2,2,32,4,0.0,2,1,1,43001.46,0,2018-12-19 00:00:00
198,15777892.0,721,3,1,37,4,107720.64,1,1,1,158591.12,0,2018-12-06 00:00:00
199,15656176.0,501,1,1,57,4,0.0,2,1,1,47847.19,0,2019-08-01 00:00:00
200,15811127.0,521,1,1,35,4,96423.84,1,1,0,10488.44,0,2018-10-19 00:00:00
201,15604482.0,850,2,1,30,5,141040.01,1,1,1,5978.2,0,2017-10-24 00:00:00
202,15622911.0,759,1,1,42,4,105420.18,1,0,1,121409.06,0,2019-02-09 00:00:00
203,15600974.0,516,2,1,50,3,0.0,1,0,1,146145.93,1,2019-10-26 00:00:00
204,15727868.0,711,1,2,38,3,129022.06,2,1,1,14374.86,1,2019-11-12 00:00:00
205,15627801.0,512,2,1,33,6,176666.62,1,1,0,94670.77,0,2016-10-17 00:00:00
206,15773039.0,550,1,1,37,4,0.0,1,1,1,179670.31,0,2019-05-23 00:00:00
207,15755262.0,608,2,2,41,4,89763.84,1,0,0,199304.74,1,2019-07-25 00:00:00
208,15679531.0,618,1,1,34,5,134954.53,1,1,1,151954.39,0,2017-12-10 00:00:00
209,15684181.0,643,1,1,45,5,0.0,1,1,0,142513.5,1,2017-12-24 00:00:00
210,15612087.0,671,1,1,45,4,106376.85,1,0,1,158264.62,0,2019-08-18 00:00:00
211,15752047.0,689,3,1,33,5,161814.64,2,1,0,169381.9,0,2018-09-21 00:00:00
212,15624592.0,603,1,1,31,6,0.0,2,1,1,169915.02,0,2016-11-02 00:00:00
213,15573152.0,620,1,2,41,5,0.0,2,0,0,88852.47,0,2018-08-29 00:00:00
214,15594917.0,676,1,2,34,4,63095.01,1,1,1,40645.81,0,2018-11-12 00:00:00
215,15785542.0,572,3,1,26,5,118287.01,2,0,0,60427.3,0,2018-09-16 00:00:00
216,15723488.0,668,3,1,47,5,106854.21,1,0,1,157959.02,1,2017-12-07 00:00:00
217,15680920.0,695,1,1,46,5,49512.55,1,1,0,133007.34,0,2018-01-08 00:00:00
218,15786308.0,730,2,2,33,5,0.0,2,0,0,176576.62,0,2018-08-17 00:00:00
219,15659366.0,807,1,1,43,3,105799.32,2,1,0,34888.04,1,2019-12-25 00:00:00
220,15774854.0,592,1,1,54,7,0.0,1,1,1,28737.71,1,2016-03-21 00:00:00
221,15725311.0,726,1,2,31,4,114722.05,2,1,1,98178.57,0,2019-09-06 00:00:00
222,15787155.0,514,2,1,30,4,0.0,1,0,1,125010.24,0,2019-09-14 00:00:00
223,15727829.0,567,1,1,42,3,0.0,2,1,1,167984.61,0,2019-10-08 00:00:00
224,15733247.0,850,1,1,33,6,0.0,1,1,0,4861.72,1,2017-01-04 00:00:00
225,15568748.0,671,3,1,45,4,99564.22,1,1,1,108872.45,1,2018-11-29 00:00:00
226,15699029.0,670,1,1,37,5,170557.91,2,1,0,198252.88,0,2018-01-12 00:00:00
227,15774393.0,694,1,2,30,5,0.0,2,1,1,26960.31,0,2018-01-27 00:00:00
228,15676895.0,547,3,2,39,5,74596.15,3,1,1,85746.52,1,2018-04-23 00:00:00
229,15637753.0,751,3,1,50,6,96888.39,1,1,0,77206.25,1,2017-09-02 00:00:00
230,15605461.0,594,3,2,29,5,130830.22,1,1,0,61048.53,0,2017-12-31 00:00:00
231,15808473.0,673,1,1,72,4,0.0,2,0,1,111981.19,0,2018-11-16 00:00:00
232,15627000.0,610,1,1,40,4,0.0,2,1,0,62232.6,0,2019-03-31 00:00:00
233,15787174.0,512,1,2,37,3,0.0,2,0,1,156105.03,0,2019-11-21 00:00:00
234,15723886.0,767,3,1,20,6,119714.25,2,0,1,150135.38,0,2017-06-10 00:00:00
235,15704769.0,585,1,2,67,6,113978.97,2,0,1,93146.11,0,2017-09-18 00:00:00
236,15772896.0,763,3,1,42,3,100160.75,1,1,0,33462.94,1,2019-10-14 00:00:00
237,15711540.0,712,1,2,29,7,0.0,1,1,1,144375.0,0,2016-06-06 00:00:00
238,15764866.0,539,3,2,43,6,116220.5,3,1,0,55803.96,1,2016-11-29 00:00:00
239,15794056.0,668,1,2,46,4,0.0,3,1,0,89048.46,1,2018-12-28 00:00:00
240,15795149.0,703,1,1,28,5,81173.83,2,0,1,162812.16,0,2018-07-03 00:00:00
241,15812009.0,662,2,1,38,4,0.0,2,1,0,136259.65,0,2019-06-10 00:00:00
242,15651001.0,725,3,2,39,4,116803.8,1,1,0,124052.97,0,2019-08-22 00:00:00
243,15813844.0,703,1,1,37,4,105961.68,2,0,1,74158.8,0,2019-09-01 00:00:00
244,15596175.0,659,3,1,67,6,117411.6,1,1,1,45071.09,1,2017-03-26 00:00:00
245,15576269.0,523,2,1,34,7,0.0,2,1,0,62030.06,0,2016-04-30 00:00:00
246,15797219.0,635,1,2,40,7,123497.58,1,1,0,131953.23,1,2016-09-16 00:00:00
247,15685500.0,772,3,1,26,4,152400.51,2,1,0,79414.0,0,2019-09-06 00:00:00
248,15599792.0,545,1,2,26,4,0.0,2,1,1,199638.56,0,2018-11-16 00:00:00
249,15657566.0,634,3,1,24,4,103097.85,1,1,1,157577.29,0,2019-08-11 00:00:00
250,15772423.0,739,3,1,54,4,126418.14,1,1,0,134420.75,1,2019-09-11 00:00:00
251,15628112.0,771,3,2,36,4,77846.9,1,0,0,99805.99,0,2019-05-11 00:00:00
252,15753754.0,587,2,2,34,5,0.0,2,1,1,97932.68,0,2018-04-06 00:00:00
253,15793726.0,681,1,2,79,4,0.0,2,0,1,170968.99,0,2019-08-15 00:00:00
254,15694717.0,544,3,1,37,5,79731.91,1,1,1,57558.95,0,2017-11-05 00:00:00
255,15665834.0,696,2,1,28,6,0.0,1,0,0,176713.47,0,2017-04-21 00:00:00
256,15765297.0,766,2,1,41,3,0.0,2,0,1,34283.23,0,2019-11-30 00:00:00
257,15636684.0,727,1,1,34,7,0.0,2,1,1,198637.34,0,2016-06-11 00:00:00
258,15592979.0,671,3,2,34,4,37266.67,2,0,0,156917.12,0,2019-08-07 00:00:00
259,15750803.0,693,1,2,30,5,127992.25,1,1,1,50457.2,0,2018-07-27 00:00:00
260,15607178.0,850,3,1,38,6,54901.01,1,1,1,140075.55,0,2017-04-20 00:00:00
261,15713853.0,732,3,1,42,5,108748.08,2,1,1,65323.11,0,2018-02-03 00:00:00
262,15673481.0,726,2,2,48,3,99906.19,1,1,0,64323.24,0,2019-10-21 00:00:00
263,15686776.0,557,1,2,32,7,184686.41,2,1,0,14956.44,0,2016-05-15 00:00:00
264,15673693.0,682,1,2,26,4,110654.02,1,0,1,111879.21,0,2018-12-10 00:00:00
265,15700696.0,738,2,1,31,4,79019.8,1,1,1,18606.23,0,2018-12-14 00:00:00
266,15813163.0,531,2,2,36,6,99240.51,1,1,0,123137.01,0,2016-11-02 00:00:00
267,15653857.0,498,1,1,34,4,0.0,2,1,1,148528.24,0,2019-09-22 00:00:00
268,15777076.0,651,1,1,36,5,0.0,2,1,0,13898.31,0,2017-09-28 00:00:00
269,15717398.0,549,2,2,39,6,0.0,1,0,0,81259.25,1,2017-06-04 00:00:00
270,15799217.0,791,3,2,35,6,52436.2,1,1,0,161051.75,0,2016-12-21 00:00:00
271,15787071.0,650,2,1,41,4,0.0,2,0,1,191599.67,0,2018-11-05 00:00:00
272,15619955.0,733,3,1,34,3,100337.96,3,1,0,48559.19,1,2019-12-12 00:00:00
273,15796505.0,811,3,2,34,5,149297.19,2,1,1,186339.74,0,2018-08-15 00:00:00
274,15725166.0,707,1,1,30,5,0.0,2,1,0,33159.37,0,2017-11-05 00:00:00
275,15800116.0,712,3,1,28,4,145605.44,1,0,1,93883.53,0,2019-05-14 00:00:00
276,15758685.0,706,2,2,37,6,0.0,2,1,1,110899.3,0,2016-10-03 00:00:00
277,15694456.0,756,1,1,62,6,0.0,1,1,1,11199.04,1,2016-10-20 00:00:00
278,15767339.0,777,1,2,53,6,0.0,2,1,0,189992.97,0,2017-05-03 00:00:00
279,15683562.0,646,1,1,35,5,84026.86,1,0,1,164255.69,0,2017-09-24 00:00:00
280,15782210.0,714,1,1,46,5,0.0,1,1,0,152167.79,1,2018-07-29 00:00:00
281,15668893.0,782,1,1,39,7,0.0,2,1,1,33949.67,0,2016-08-05 00:00:00
282,15669169.0,775,2,1,29,5,0.0,2,1,1,68143.93,0,2018-03-13 00:00:00
283,15643024.0,479,3,1,35,5,138718.92,1,1,1,47251.79,1,2018-05-20 00:00:00
284,15699389.0,807,1,1,42,5,118274.71,1,1,1,25885.72,0,2018-09-08 00:00:00
